Company,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,year
MyDentalPlan,2014.0,Bangalore,Healthcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,Seed,2021
Freyr Energy,2014.0,Hyderabad,Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000.0,Seed,2021
DealShare,2018.0,Jaipur,Retail and E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,Seed,2021
Tessolve,1993.0,Bangalore,Other,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,Seed,2021
Smart Joules,2014.0,New,Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,Seed,2021
ORAI,2020.0,Bangalore,Technology,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,Pre-series A,2021
ixamBee,2016.0,New,Education,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed,2021
CoinSwitch Kuber,2017.0,Bangalore,Financial Services,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,Series B,2021
Razorpay,2014.0,Bangalore,Financial Services,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,Series E,2021
Uable,2020.0,Bangalore,Education,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",3000000.0,Seed,2021
ZFW Hospitality,2015.0,New,Hospitality and Tourism,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,Pre-seed,2021
Optimized Electrotech,2017.0,Ahmadabad,Aerospace and Defense,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,Pre-series A,2021
Northern Arc,2008.0,Chennai,Financial Services,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000.0,Pre-series A,2021
Chara,2019.0,Bangalore,Technology,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,Seed,2021
Sirona Hygiene,2015.0,New,Healthcare,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000.0,Series A,2021
Pristyn Care,2018.0,Gurugram,Healthcare,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Series D,2021
TrulyMadly,2013.0,New,Other,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",2000000.0,Pre-series A,2021
Vidyakul,2018.0,New,Education,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000.0,Seed,2021
Jambox Games,2021.0,Bangalore,Media and Entertainment,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,Undisclosed,1100000.0,Seed,2021
Miko,2015.0,Mumbai,Other,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital",6000000.0,Seed,2021
SuperK,2019.0,Andhra,Technology,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,800000.0,Seed,2021
TagZ Foods,2019.0,Bangalore,Hospitality and Tourism,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000.0,Pre-series A,2021
Fuel Buddy,2017.0,New,Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,1000000.0,Pre-series A,2021
M1xchange,2017.0,Gurugram,Financial Services,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000.0,Pre-series A,2021
Spintly,2017.0,Goa,Technology,Wireless cloud based access control platform,Rohin Parkar,Riso Capital,500000.0,Pre-series A,2021
EF Polymer,2018.0,Rajsamand,Technology,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,200000.0,Pre-series A,2021
boAt,2016.0,New,Other,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus",6000000.0,Pre-series A,2021
TruNativ,2019.0,Mumbai,Hospitality and Tourism,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,3000000.0,Seed,2021
iBus,2010.0,Bangalore,Other,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,21000000.0,Seed,2021
Puresh Daily,2019.0,Ranchi,Technology,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,Seed,2021
LearnVern,2016.0,Ahmadabad,Education,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",Undisclosed,1000000.0,Seed,2021
LimeChat,2020.0,Faridabad,Technology,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2021
Dybo,2019.0,Bangalore,Technology,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,Seed,2021
moEVing,2021.0,Gurugram,Hospitality and Tourism,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,Undisclosed,1000000.0,Seed,2021
WeWork India,2017.0,Bangalore,Healthcare,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,Undisclosed,26000000.0,Seed,2021
Solethreads,2018.0,Gurugram,Retail and E-Commerce,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2021
Beldara,2018.0,Mumbai,Retail and E-Commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,Series A,2021
CredFlow,2020.0,New,Financial Services,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021
Do Your Thng,2018.0,Gurugram,Technology,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,Seed,2021
Oye Rickshaw,2017.0,Gurugram,Hospitality and Tourism,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000.0,Seed,2021
Legitquest,2017.0,New,Technology,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000.0,Seed,2021
Swiggy,2014.0,Bangalore,Hospitality and Tourism,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000.0,Seed,2021
AntWak,2019.0,Bangalore,Education,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",3000000.0,Seed,2021
PlayShifu,2016.0,Bangalore,Education,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2021
Pitstop,2015.0,Bangalore,Hospitality and Tourism,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Pre-series B,2021
Lendingkart,1999.0,Gujarat,Financial Services,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Series B,2021
CRED,2018.0,Bangalore,Financial Services,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Series D,2021
Karnival,2015.0,Bangalore,Technology,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Seed,2021
PharmEasy,2015.0,Mumbai,Healthcare,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Series E,2021
WESS,1989.0,Mumbai,Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,2000000.0,Seed,2021
ShopSe,2020.0,Mumbai,Financial Services,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,Seed,2021
Fantasy Akhada,2020.0,Gurugram,Media and Entertainment,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,Seed,2021
Rage Coffee,2018.0,New,Hospitality and Tourism,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",3000000.0,Pre-series A,2021
Groww,2017.0,Bangalore,Financial Services,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Series D,2021
Avanti Finance,2016.0,Bangalore,Financial Services,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,Series A,2021
Kudos,2014.0,Pune,Financial Services,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,3000000.0,Pre-series A,2021
OfBusiness,2015.0,Gurugram,Financial Services,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000.0,Pre-series A,2021
Superpro.ai,2019.0,Bangalore,Media and Entertainment,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000.0,Seed,2021
ShareChat,2015.0,Bangalore,Healthcare,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000.0,Seed,2021
WiT-ACE,2020.0,Gurugram,Other,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,Seed,2021
Spinny,2015.0,Gurugram,Technology,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,Series C,2021
Alteria Capital,2018.0,Mumbai,Financial Services,Alteria Capital is a Venture debt firm .,Vinod Murali,Undisclosed,150000000000.0,Series B,2021
Safexpay,2017.0,Thane,Financial Services,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,Series B,2021
PumPumPum,2018.0,Gurugram,Real Estate,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000.0,Pre-series A,2021
Speciale Invest,2017.0,Bangalore,Financial Services,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",Undisclosed,10000000.0,Pre-series A,2021
Eunimart,2016.0,Hyderabad,Retail and E-Commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,Pre-series A,2021
Meesho,2015.0,Bangalore,Retail and E-Commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,Pre-series A,2021
CareerLabs,2019.0,Bangalore,Education,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,Pre-series A,2021
Uable,2020.0,Bangalore,Education,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,Pre-series A,2021
Zoko,2016.0,Bangalore,Technology,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,Seed,2021
GetWork,2019.0,Gurugram,Technology,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,200000.0,Seed,2021
Easebuzz,2015.0,Pune,Retail and E-Commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,Series A,2021
Chingari,2018.0,Bangalore,Healthcare,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000.0,Series A,2021
DusMinute,2017.0,Bangalore,Technology,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,Pre-series A,2021
Onsurity,2020.0,Bangalore,Healthcare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",3000000.0,Pre-series A,2021
Karbon Card,2019.0,Bangalore,Financial Services,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,3000000.0,Pre-series A,2021
Factors.AI,2020.0,Bangalore,Technology,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000.0,Pre-series A,2021
Elevar,2017.0,Mumbai,Media and Entertainment,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000.0,Pre-series A,2021
Studio Sirah,2020.0,Bangalore,Technology,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,Pre-series A,2021
OTO Capital,2018.0,Mumbai,Financial Services,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,Pre-series A,2021
1Bridge,2016.0,Bangalore,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,Pre-series A,2021
Skeps,2018.0,Gurugram,Financial Services,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,Pre-series A,2021
Curefoods,2020.0,Bangalore,Hospitality and Tourism,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Pre-series A,2021
TartanSense,2015.0,Bangalore,Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Pre-series A,2021
Bewakoof,2012.0,Mumbai,Technology,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,Pre-series A,2021
Kirana247,2018.0,New,Technology,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",Undisclosed,1000000.0,Pre-series A,2021
FanPlay,2020.0,Bengaluru,Technology,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",3000000.0,$1200000,2021
NeoDocs,2020.0,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",3000000.0,$1200000,2021
IsGoingOnline,2015.0,Cochin,Technology,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,$1200000,2021
Camp K12,2010.0,Gurugram,Education,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,$1200000,2021
Elda Health,2020.0,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,$1200000,2021
Sporjo,2020.0,Mumbai,Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,$1200000,2021
Advantage Club,2014.0,Mumbai,Technology,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,$1200000,2021
SuperGaming,2017.0,Pune,Media and Entertainment,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,$1200000,2021
Ruptok,2020.0,New,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,$1200000,2021
Curefoods,2020.0,Bangalore,Hospitality and Tourism,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,$1200000,2021
TartanSense,2015.0,Bangalore,Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Series A,2021
Bewakoof,2012.0,Mumbai,Technology,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,Series A,2021
NeoDocs,2020.0,Mumbai,Healthcare,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",3000000.0,Pre-seed,2021
IsGoingOnline,2015.0,Cochin,Technology,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Pre-series A,2021
Camp K12,2010.0,Gurugram,Education,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Series A,2021
Elda Health,2020.0,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,Seed,2021
Sporjo,2020.0,Mumbai,Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,Pre-series A,2021
Advantage Club,2014.0,Mumbai,Technology,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,Pre-series A,2021
SuperGaming,2017.0,Pune,Media and Entertainment,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Series A,2021
Ruptok,2020.0,New,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Series A,2021
O’ Be Cocktails,2019.0,Bangalore,Technology,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,"First Cheque, Letsventure",400000.0,Series A,2021
Zetwerk,2018.0,Bangalore,Manufacturing,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",Undisclosed,150000000.0,Series E,2021
AppsForBharat,2020.0,Bangalore,Technology,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000.0,Seed,2021
Imagimake,2011.0,Mumbai,Consumer Goods,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,3000000.0,Seed,2021
Khatabook,2018.0,Bangalore,Professional Services,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C,2021
Smytten,2015.0,Gurugram,Consumer Goods,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000.0,Series A,2021
Syook,2016.0,Bangalore,Automotive and Transportation,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000.0,Series A,2021
Akudo,2020.0,Bangalore,Financial Services,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",3000000.0,Pre-seed,2021
NOTO,2019.0,Mumbai,Consumer Goods,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000.0,Pre-series A,2021
Lumiq,2013.0,Noida,Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,Seed,2021
CommerceUp,2018.0,Gurugram,Technology,Grow and manage ecommerce business from single dashboard,Piyush Pathak,NB Ventures,3000000.0,Seed,2021
Breathe Well-being,2015.0,Gurugram,Healthcare,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000.0,Series A,2021
Hike,2012.0,New,Technology,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Kavin Bharti Mittal,"Binny Bansal, Kunal Shah",3000000.0,Series A,2021
House of Kieraya,2013.0,Bangalore,Consumer Goods,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,Series A,2021
